comment,date,writer_name,movie_name,rating
I will not tell you the plot as others have already done that with too much detail. I will offer my review of the movie and answer some of the criticisms of other reviewers.,"August 2, 2018",Kim Hoag,Leave No Trace,5.0
"They tried. They spent way too much time setting up a pointless crime angle and backstory about the effects on family when a ""good cop"" goes bad (or makes a career-ending stupid decision), and then they didn't really have enough story to fill the rest of the movie. So they dragged it out. They have a few good moments and some good lines, but it wasn't enough. It plods along, then gets interesting for a few minutes, and then it plods again, plods some more, and then wraps it all up with a nice little bow when the ""good guys"" win over the bad guys and the other, side story bad guys. -- Andrew Murray as Philip and the young man who played his son were the only two with any presence on screen. Technically, the prosthetic monster makeups were excellent. Those are what the movie had going for it. -- Some reviewers try to make hay out of the lunatic ""Lizard People"" global conspiracy theory, saying it's what makes the movie intelligent, erudite, clever, and all that. Bless'em. They're reaching. -- ""Killers Inside"" is pretty much standard fare B-horror, a creature feature using the typical vampire movie premise, and when it gets going it's really just a bug hunt. That said, there are a lot of way worse movies out there. -- Watch it if you have nothing better to do and/or need to pass the time... or you review movies. 4/10","May 2, 2019",M. TURNER,Killers Within,2.0
"A tad overrated in my humble opinion. Breslin and Stone are cute characters but Eisenburg is his usual nasal and annoying self and Woody is, well, Woody. Much of the humor didn't land for me and the zombie's were simply props in the film. Still, worth a watch if you aren't expecting the masterpiece the reviews seem to think this is.","May 11, 2019",Ron Baker,Zombieland,3.0
"As a mom of 2 teenagers & old enough to enjoy both the ""dad"" actors and the ""grandpa"" actors (and all the muscles, cuteness & comedy that comes with each of them) loved it.  At least 5 LOL moments throughout.  You must love Will Ferrel comedy or don't watch.  Little slapstick & silly, but I loved it. Nice mom night alone or Family night (although wouldn't let a kid under about 14 watch because of some conversation about ""the talk""...each to his/her own. :)","April 5, 2018",ALC Gardner,Daddy's Home 2,5.0
Soul Plane has to go down as one of the worst and dumbest movies of ALL time...which is why I love it so much! It's good 'bad' if you know what I mean...this is the type of movie that you put your brain in your pocket for an hour and a half and just enjoy the fun...that's all! You knew it wasn't Shakespeare when you stared watching it!,"June 5, 2017",Darryl Wren,Soul Plane,5.0
"Glad I saw this, and yes, we need to know, but frankly, I found this film to be more sensational than it needed to be. It dramatized the terrible things that happened to this unfortunate woman (and many more like her) in a manner that was a bit slick and pornographic for me. I'm not a prude and not anti-porn. I just think it could have been handled differently.","December 26, 2018",hawthorne wood,Apartment 407,3.0
Donald Glover shows us why he is the futuristic musical talent as he finds a new and innovative way to promote his album while incorporating the authentic and spiritual feel of the islands in his songs. The scenery of Guava Island is as refreshing as a morning sea breeze. The warmth and courtesy of the people shine through.,"April 13, 2019",Ricardo,Guava Island,3.0
"This is a hard movie to put into words.  But I was instantly engaged and soon I was all in.  Even when the father is not doing what most believe is in his daughter's best interest, he thinks he is.  There are no bad guys in this movie.  Just people interacting and helping in what way they can.  The young actress was extraordinary, but please don't let that take away from the amazing performances by all.  Movies like this make you feel.  Purchase more than well worth it.","October 6, 2018",Lisa C. Nelson,Leave No Trace,5.0
I love making furniture and when the mom brings dinner from stove top to right on top of the unprotected wood finish without hesitation shows this lady is areal winner meaning most people who understand craftsmanship and elbow grease cringe when some idiot burns the top of the kitchen table  or your wife's friend throws her big crappy bag on your cars paint job then slides it off so it scratches right across and when you say something she gets all butt hurt and your wife tells you say's your mean because you told the overweight always got something in her mouth eating diabetes having stretch pants wearing slob got a tank top on and a mouse tattoo on her neck dang sorry to rant I get upset when stuff get ruined I guess......HAHAHAHAHAHAHAHAPUT THE POT ON A COASTER DUMMY!,"May 7, 2019",wylie,Killers Within,3.0
"This movie has everything. Sarcasm, zombies, and Bill Murray, with clown death as an added bonus. Boy do I hate clowns. Watched it with my son, who is finally old enough to watch this kind of thing. Even funnier than I remember.","January 7, 2018",AEH,Zombieland,5.0
"I LAUGHED SO HARD SO MANY TIMES. Great movie! And so cute. Would love to see the development of John Cena's and Mark Wahlberg's relationship under the influence of Will Ferrell's character as well as the friendship between the Mel Gibson and John Lithgow characters- would be super hilarious. Would be super funny if Mel Gibson and John Lithgow's characters became roommates in a future Daddy's Home movie. Hope to see Daddy's Home 3, Daddy's Home 4, Daddy's Home 5, etc.","August 2, 2018",MK,Daddy's Home 2,5.0
FORMAT: Blu-Ray,"May 22, 2017",ChicGeek,Primal Fear,5.0
I'm amused to see 3 and 4 star ratings from people who've watched it multiple times.,"October 30, 2017","Thomas G. Field, Jr.",Indecent Proposal,5.0
Excellent movie. There’s a moment at the end that gets pretty in detail but the story line is very effective. It show how the justice system tends to take the easy way out and how that can affect the victim. The 2 lead actresses were excellent together and I feel like this is a great movie that brings awareness to more than one major issue.,"October 30, 2018",Jo Simon,The Accused,5.0
"I thought this was a very good movie!  On the surface of the story is a woman who suffers a sudden devastating loss of a child and the subtext was the mental and emotional break she experiences due to an act of senseless violence.  I thought the subplot of mental illness was clever and added a twist to the story that I never saw coming.  Another underlining coincidence was the use of the name ""Eve;"" according to biblical reference, the first Mother to experience the murder of her child, Abel, by his brother, Cain.  This movie is worth watching.","February 11, 2019",L. Foster,Lila and Eve,5.0
"Have to give credit  where credit is due!  Soul Plane has creativity, comedy and a little runch! I love connecting the dots. Alot actors or jokes I may not have picked up on when I was younger. Golly O' Molly I got it now! If you consider this movie to hood. It makes number one under the Hood Genre.","April 10, 2019",Jasmine S.,Soul Plane,5.0
This is a movie that people need to watch. There are master manipulators in this world who know all the right things to say to draw you in and earn your trust. So many children and women have either been kidnapped and forced or conned in sex slavery. It’s absolutely heart-wrenching to think about a child being abused in that way.,"April 10, 2019",Kdh,Apartment 407,3.0
"Bite the hand that feeds you is the socialist motto of this film. While deeming capitalism and comparing US capitalism to totalitarianism capitalism, this film is trying to fit the narrative to socialize the US while also telling those of small countries or small island groups to look away from capitalism and stay within your tradition. I do agree with the latter, but it is nearly a fantasy that is ignorant to the expansion and evolution on an 'intelligent' or industrialized civilisation. I am not saying that I disagree with all of CG's messages, but only stating an observation of the ill ideology popularized fad on the internet. It's hard to watch CG talk about socialising the island while he enjoys the fruits of modern technology, parading around all high and mighty on his moral high ground blessed by the people around him. It's hard to like this movie when he demonises the US while comparing it to a full work week controlled by a totalitarian dictator of which we do not have.","April 13, 2019",Tumitime,Guava Island,1.0
Films should tell a story and move the viewer emotionally.  This film does that.  The backdrop is beautiful and the dialogue is no more than what's needed.  Definitely worth the watch.  A film that will be on your mind for days after watching it.,"October 3, 2018",Jack Bean,Leave No Trace,5.0
"I agree with everything said in Leon's review, and I suggest you read it first. Minimal background/plot spoilers.","April 5, 2019",Anna,Killers Within,5.0
I decided I wanted to build up a movie collection of my favorite movies. Zombieland is my all time fav zombie movie.,"July 10, 2018",rooben,Zombieland,5.0
Laughed the whole,"February 13, 2018",Amazon Customer,Daddy's Home 2,5.0
"Primal Fear may very well put the fear of something in you. It could be weirdest movie this side of American Beauty. Richard Gere is tasked with defending an alter boy accused of murdering a beloved Chicago priest. Gere is the flamboyant win at all costs, anything to get client off who meets his match in the Edward Norton character. But before we get to that point, the attorney has to figure out how to get his client off while waging something of a war against two very powerful institutions the Catholic Church and the Chicago PD. While this struggle is intense, it’s only half the battle.","December 29, 2015",Michael Griswold,Primal Fear,5.0
"The movie is an okay, kind of cheesy, drama/romance.  It stars Demi Moore, who in 1993 was in her prime as an actress and physically being absolutely gorgeous (not that she is bad now), Woody Harrleson who was probably at the height of his popularity coming off of Cheers, and Robert Redford who was probably on the other side of his leading man status, which actually worked well for the role he played. The story is simple, a young couple in financial trouble decides to go to Vegas (of all places) to try to turn a little bit of money into enough to get out of debt.  Redford, who is a billionaire playboy sees Demi Moore tries to hit on her, and when he discovers she is Married offers the couple a million dollars for one night with her.","November 10, 2015",Mike S.,Indecent Proposal,4.0
"I gave this movie 5 stars because I truly believe Jodie Foster and Kelly McGillis did a great job or portraying a rape victim and a prosecutor. This is based on a true story. The person in the movie was not the victim but this really happened. I can not even imagine going through something like this and having people cheering this on. To me, that room and atmosphere was filled with the worst sort of perversion. Rape is not just a sexual crime, it is a violent, aggressive act against another human. It is force, and bullying and a disconnected crime with the inability to express self-control and compassion for the victim. I am very thankful that because of a very brave young woman, laws were changed. There is still a lot of work to be done for rape victims and the offenders to not only bring them to justice but a great deal to be done to prevent these crimes. I learned a few things from this portrayal. I am very aware that if one is not in the room or present during the crime, it is a great challenge for them to imagine and get upset enough to persecute or put forth a vote of guilty. That is why it takes very brave people to tell the whole story. This movie was very good for teaching. It is a good study of human behavior. I am glad I viewed it again. I wonder if the rape scene will haunt the male actors. It was very graphic and maybe at that time, it was a shock to many viewers. I myself could not have watched this in a movie theatre. I saw it on cable years ago in the privacy of my home and now again streaming. My heart went out to the victim. It is not in me to shame a victim. It does not matter that she was drinking, flirting or dancing seductively. That is a part of who she was and a choice she got to make. The actual aggressive act was about the offenders and God help us if we, as a society fall asleep and allow this crime to go unpunished. It matters! It matters for the weaker in our society. And at that moment, she was weak. These men were predators and anyone could be a victim. She walked right into their lair. The statistics given at the end of the movie tell me, a viewer that this movie was not some crap piece taking advantage but an effort to educate the public. I recommend this movie for young men to view. I do not recommend for young children or female teens as I am sure it would be emotionally disturbing but maybe it would prevent someone from thinking it is okay to get drunk at a bar. In those situations anything can happen. A theft, a rape, a murder, a bar fight, a car accident. We all know better. Good job people. Good effort.","May 22, 2019",Ladybug52,The Accused,5.0
"Viola Davis is a phenomenal actress. With that being said, an actress as strong as she is does NOT need antics like a ghost or hallucination in the form a real person. WTF??? Lila & Eve would have been so much better without casting Jennifer Lopez as the ghost/hallucination. This movie reminded me of Peppermint where Jennifer Garner took down an entire cartel........BY HERSELF! I love movies where women kick a$$ and get revenge. I just wish that more writers and directors would write and produce decent scripts without all the foolishness and without writing crappy stories that have been done a million times before. And this is no diss to Jennifer Lopez, she's not a bad actress at all, but she just did not fit well with this movie. Plus, she sounded weird with the slang dialect and trying not to speak with her accent. Jennifer is better at romantic comedies and pretending she can sing! LOL!","March 14, 2019",Miss Nickie,Lila and Eve,3.0
"So, how do you make ""Guava Island"" look good?  Just compare it to Soul Plane which is so bad that it has audiences scrambling for just about anything to enjoy.  Bad acting, weak cameos, cheap thrills and the oh-so-NOT-funny Kevin Hart.  This is cheap entertainment, nothing more.","April 25, 2019",True-Review,Soul Plane,1.0
There is a review on here (Amazon) that denigrates the woman portrayed in this movie. Movies often change certain facts and waiting before you go to the Police should never be held against a victim.  My GOD!  One should do whatever they can to survive.  The movie is worth 4 stars for being informational at the very least.,"March 29, 2019",Shakti Skye,Apartment 407,4.0
"I'd say people naturally associate songs with certain people or moments in their lives.  It creates powerful emotions and vivid images whenever they hear that song. Guava Island is like watching that process play out in real time. You see the second when a song becomes something more. It transforms into a person, a moment or a memory.....Every word and beat gains a deeper meaning.  The way they were able to blend the storyline with the music was just amazing. Its also a reminder that everything is temporary. We have try live in and enjoy the present moment while we can.","April 13, 2019",KenG,Guava Island,5.0
"This was a very sad, but restrained story of the effects of war on those who were in it, and their families.  It's also a story of loving and caring strangers  and how much they can help those in need.","October 2, 2018",Sandy W,Leave No Trace,5.0
"Went into this one not having seen the trailer or knowing more than what the Amazon Prime description said, what I got was a nifty little Irish independent home-invasion horror thriller. It's flawed to be sure, yet is still watchable. I'd be extremely interested in what they could do with a bigger budget.","May 10, 2019",MoviemanKev,Killers Within,3.0
I used this film for training ideas for the Apocalypse.  I am truly ready.  I double tap everything now.  Two staples on every document.  Two Styrofoam cups at the coffee machine.  Two emails sent to everyone of MY FREAKIN great IDEAS.  Two copies of every print out.  Two trash cans because I get a lots of extra copies returned to me because those pencil necks have no clue.  Work is going to be so awesome on that day.  It was good movie. I enjoyed it.  I thought Bill Murray was in it.  did I miss the scene or was he removed.  Maybe he was afraid of some freakin nut with some great ideas.  Excellent comedy  enjoyed it,"May 3, 2015",annonymous,Zombieland,5.0
"Funny movie, but full of liberal garbage. All throughout this movie, the producer was pushing his own liberal agenda. Also, this is not a family movie. The children were horrible and a terrible example to any child whose parents are dumb enough to let them watch it. I'm rating this a one star because of the immorality that abounds throughout the entire movie and the gross liberal content.","November 16, 2018",Rebecca,Daddy's Home 2,1.0
"First, I was born, educated and have lived my entire life in Moscow.  I want everyone reading this to know that Russians are not living in the 19th century now. Everyone uses modern gadgets, unlike Katya's home in Myrniy!!!  Another big stereotype used was showing everybody drinking vodka, however, the cafe scenes showed the men drinking something else without any food.  If Russians drink vodka, there are always copious amounts of food on the table. The director needed to utilize Google and find out about the real Russian brands of vodka consumed in Russia. In  addition, in Siberia not everyone speaks English. Plus, the ramshackle country home at which Pyotr's body was found had a door with large gaps between boards... this is Siberia!!!!!!!!!!!  And the Federal agents (always professional in any country) would have never been identifiable in the hotel lobby.","December 2, 2018",NikaVictoria,Siberia (2018),1.0
"Maaaaan! Even after knowing the ending, I still fell for it. Ed Norton is so good in this and the case so compelling it's mesmerizing.","January 2, 2018",leo,Primal Fear,5.0
"It was refreshing to see Robert Redford play an off-type, somewhat 'snarky' character. He's still as good looking as ever, but he also seemed too old to be playing this role. Especially considering that Demi was so much younger. This made it appear as if he wanted her as another object for his collection. Demi Moore was at the height of her acting career, however; I think she could have brought more depth to her character.  Woody Harrelson did very well in one of his first dramatic roles. I could sense the anguish and anger that would come about had this been real.","March 22, 2016",Violet,Indecent Proposal,4.0
"There is a reason Jodi Foster is a favorite actress of mine she is just the best. I'll watch anything she is in. The silence of the Lambs book did not make any stars with me, but I recommend the movie with her in it. She shines here and Kelly McGillis does well also in taking on drinking, young ""I do it because I can"" young punks, coverups, and rape with victim blaming. This actually happens way too many times in real life. All that someone like her has to endure by mockers, the boys she is trying to put away and those siding with them and the control they have over those who should say something but for many reasons are afraid of the repercussions.  This is an ""on the edge of the seat"" movie. I felt the frustration and fear of the protagonist throughout. I cried in the end for the verdict with Sara and I believe it was based on a true story.  Recommended.","May 26, 2019",Karen L. Dunleavy,The Accused,5.0
"I don't know what the high ratings are about. This is a typical revenge film caste in the theme of mothers who have lost their sons and daughters to gang rated violence. The character development left me not bonding to any of the characters, and the plot was thin, underdeveloped, anticlimactic, and in some ways, fairly unbelievable too. It was worth 3 stars, but only because of the acting and filming, which was top notch.","May 26, 2017",NULL,Lila and Eve,3.0
"Worst ""blackslpoitation"" movie ever. Every black stereotype imaginable, mixed with a stupid plot line, and terrible acting. Oh and a few laughs. All in all an incredible waste of time and money. The black community should be outraged yet again.","April 19, 2015",HillJack Senior,Soul Plane,1.0
This movie is very disturbing and hard to watch at times. The acting is extremely good. Isabel was fantastic in her role. This movie is highly recommended.,"December 3, 2018",blondie,Apartment 407,5.0
"I consider myself a fairly new fan of Donald Glover (Childish Gambino), and seeing this really makes me know why I am. He is a very talented individual who knows his stuff. For veteran fans, you already know who he is all about. For newcomers, I hope this music touches your soul and you continue to listen to his music. Very talented person.","April 13, 2019",Deano,Guava Island,5.0
"This movie is a lovely portrait of a father/daughter relationship, the perils of PTSD that many of our veterans face, and the beauty of a small community that takes care of others. Honestly one of the best films I've seen in years.","November 24, 2018",Monika Matthews,Leave No Trace,5.0
It was something different and at least it didn't look like somebody made in their backyard with their I-Phone,"May 4, 2019",Nancy E.,Killers Within,4.0
"This is the best zombie movie of them all. Of course, I don't really consider it a ""zombie movie"" in the sense that zombie movies are usually horror movies. To me, this is more akin to a guy's romantic comedy with some action scenes added on (perhaps that's a redundant description). The dialogue is excellent. The concept is fantastic. I love this movie.","May 5, 2017",Iamme,Zombieland,5.0
"The first movie was really well done - tight, funny, with a lot of heart. This movie was a mess, and I wanted to dislike it for that reason. Yet my wife and I were wailing in laughter throughout it, and by the sentimental, patently ridiculous ending, I was smiling ear to ear. Sometimes a movie isn't perfect, but it's everything it's trying to be, and I think that's the case here. Ferrel and Wahlberg are wonderful foils to each other, and Gibson and Lithgow play to their type very well. John Cena is better than he has any right to be. But the biggest props for me go to little Scarlett Estevez for her scene with the eggnog. (SPOILER) Most adults are terrible at acting drunk, let alone kids, yet she had us believing she was toast.","November 30, 2018",AnthonyWrites,Daddy's Home 2,4.0
"I rented this movie on ondemand the first day it came out. Being a fan of anything that Keanu Reeves is in I was anxiously awaiting this movie as I knew it would be a different kind of movie for him.  Mr. Reeves is a totally wonderful action star, but he is also a great actor when it comes to dark and psychological movies.  This movie lived up to my expectations.  This movie is a tragic love story between two people who are from different cultures and who have lives that they are trapped in. When they are thrown together because of a diamond deal gone awry, they develop a relationship that is both sensual, emotional and yes loving even though he is married and she is supposedly engaged.  They become entangled in the Russian mob about the diamond deal.  Then things get dicey.  The Russians don’t play and they put these two people in a violent situation that they try to escape from.  I thought the story was great.  The characters were well played by Keanu and Una and their chemistry worked.  They both exhibited great emotions throughout the movie.  Keanu’s command of the Russian language was perfect.  That in itself shows the work and passion he puts into every role he plays.  All I can say is if you’re not interested in seeing a well thought out and acted movie for mature people who appreciate the noir type of movie, then this movie is not for you.  Of course there are a lot of CGI movies out there to hold your attention without you having to invest yourself in a thought provoking movie. I already have the Blu-ray DVD.  Congratulations to all involved with this movie.  A job well done.","September 18, 2018",Gatorgirl,Siberia (2018),5.0
"I have seen ""Primal Fear"" at least four times and with each viewing I am still amazed at the superb performances by Richard Gere, Laura Linney and especially Edward Norton.  In fact, there are not enough superlatives to describe the performance by Edward Norton as Aaron/Roy.","June 17, 2018",Tullia,Primal Fear,5.0
"I've heard the term ""Indecent Proposal"" before but never had the chance to watch the film. I didn't even know it was adapted from a book. It was a great film but if I was the screenwriter and director, I'd had the sex scene with Moore and Redford included because the viewer could have compared Moore's passion between Redford and Harrelson and contrast both experiences.","October 11, 2017",Person Me,Indecent Proposal,4.0
I can't say enough in praise of this movie. It had to be difficult for both Jodie Foster and Kelly McGillis to endure the making this film. Kelly has endured sexual assault and Jodie was stalked and came out as lesbian at a time when it was difficult to do so.,"May 9, 2019",Meghan Kaur Louve,The Accused,5.0
"Excellent movie, great performance by Jennifer Lopez, Shea Whigham and Yolonda Ross plus one outstanding performance by Viola Davis. Well told story and I am now a fan of Ms Valerie June (who sang the outro). This was so good, I'm going watch it again. Probably get the DVD too.","July 20, 2015",Mase,Lila and Eve,5.0
It is exactly as advertised.,"August 1, 2013",Walter Marx,Soul Plane,3.0
"I absolutely can't stand movies like this, but as a woman we need a reminder of what could happen in the many chances we take in a sometimes stressful world where logical reasoning and confidence  compensates for the right decision in keeping us safe.  She also seem like a very nice person which sometimes leaves us with the disposition of trusting too easily. I was approached several times on the street and clubs by supposed women talent scouts in NYC commenting on how pretty I was with a natural look that would do well in modeling, but when I showed, person always requested money for a photo shoot which was a bit on the expensive side so never proceeded. If this happens to you and you're interested, just make sure you take friends with you and always let someone know where you're going. As someone once said, ""just cause you're paranoid doesn't mean they're not out to get you"".","April 13, 2019",Topaz,Apartment 407,5.0
Thank you for sharing on this platform .I enjoyed the simplicity of the the movie ! Great story !,"April 13, 2019",Bernida Kimble,Guava Island,5.0
"Excellent film. Sad that veterans come home wounded not only in body, but in mind. The struggle to ""fit in"" to society again. The love you have for family, but the wounds you carry, that make it hard to be ""normal"" by societiel standards.","October 3, 2018",James M. Cogdell,Leave No Trace,5.0
"I wouldn't call it a horror movie. The storyline is blah and I get it, killer lizards or reptiles that evolved? It doesn't make sense at all. It had some enjoyable elements but I wouldn't watch it again or pay for it.","June 1, 2019",Amazon Customer,Killers Within,3.0
"This movie could have been great.  But the whole Bill Murray scene was completely unnecessary, dragged out, wasted time, and didn't add to the movie.  It's almost like they realized the movie wouldn't be long enough to make it worthwhile, so they found someone to do a quick cameo that doesn't make sense, just to tack on a few extra minutes.","May 26, 2019",ssgtnelson,Zombieland,3.0
"This was a fun film. I am constantly annoyed at how inept dads and stepdads are portrayed in media, and this buys into it, but the jokes are funny. The situations are ridiculous but it is fun.","October 17, 2017",Big IV,Daddy's Home,4.0
"After the great reviews of this movie, I kept watching and waiting for the good stuff, but it never happened. I found this movie dull and depressing. Sorry I wasted my time watching it. Move along and find something better to watch.","May 13, 2019",catmusicgirl,Lost Fare,1.0
Ten minutes into the movie and here is why you should not rent it unless you're into films with low intelligence characters:,"December 1, 2018",Amazon Customer,The Domestics,1.0
"Hereditary is one of the new breed of horror movies. There aren't a lot of crescendoing music with jump scares, and the movie does not rely on gore, although there is some. What Hereditary represents is a leap forward for the genre. The performances here are stunning, with Toni Collette absolutely stealing the show. There is a particular scene of loss where her reaction is physically painful to watch.","December 30, 2018",TWL50,Hereditary (4K UHD),5.0
This much violence and sickness in this movie is beyond a cheap Gore movie and I believe this was not an entertainment but a torture of soul. This should not be allowed to be broadcasted. This is more like a snuff movie. remove this crap.,"April 9, 2019",Frank Tailor,All Hallow's Eve,1.0
This movie doesn't have a plot so much as it has a cover for a soft-core porno. After the 3rd graphic sex scene my wife asked me to turn it off and I was happy to oblige. It isn't like the plot was actually moving along anyway. There is a paper-thin veneer of suspense but the focus is mainly on Keanu Reeves and a Russian woman and their sordid and shallow sexual affair.,"November 29, 2018",I. M. Hagenbuch,Siberia (2018),2.0
A generic legal drama elevated by Gere and Norton.,"April 27, 2019",Matthew D'Souza,Primal Fear,4.0
"I saw this film when it came out and not liked it. I needed some background noise, so I watched it again, to see if I had a different opinion this time. No, I didn't. I was hoping for something more than a ridiculous romance drama, but that's what it is. I was hoping for a statement about materialism, which was in vogue in America since 1980. But it turned out to be about three noxious individuals whom I would have liked to have driven their car off that pier at the story's end.","May 18, 2019",Looking Closer,Indecent Proposal,1.0
"Jodie Foster is a fine actress. If anyone believes that to act, as in this filming is easy, try it.","April 3, 2019",LTC SHMUEL ROSENFELD,The Accused,5.0
"I absolutely loved this movie. I never even heard if it when it was released and just happened to find it on Amazon Prime. It was so good. Fast paced, very real characters, and relatable storyline. Viola Davis & Jennifer Lopez are great and convincing in each if their roles as grieving mothers who want to recover and satisfy their desire for revenge.","June 18, 2017",Bernadette G.,Lila and Eve,5.0
We had seen this movie before (very funny) and wanted this as a gift for friends.  Can not find anywhere else and happy to have found it on Amazon!  Funny.  If you like any of the Airplane Spoofs - you'll like this one!,"September 6, 2017",Grace,Soul Plane,5.0
"It is relatively easy to be skeptical about at least the details of the movie, since it does not quite fit with even the original story when it came out. The movie gives you the impression that the pace of violations were over several days, and indeed the time of captivity was alleged to be three days and two nights. However the impression one gets from the film is that this is a much longer period. The original story is that she was drugged right away on the second visit, not threatened with a knife and forced to drink the laced milk. The original story was she was raped by twelve men, or eight, or other numbers at different tellings until it settled in at eight. She escaped not by avoiding the fatal injection at the last minute by a phone call from her captor in the next room who had decided to off her himself then being knocked unconscious by the self-freed, handcuff-knuckled heroine. She escaped, she told authorities, because he had left the door unlocked. It also was in London, not anywhere in the United States.","April 8, 2019",Mike,Apartment 407,2.0
